table__cell,table__cell 2,table__cell 3,table__cell 4,table__cell 5,table__cell 7,icon-elbow,icon-elbow href
Madrid,3.683 €/m2,"- 0,7 %","- 2,0 %","+ 0,9 %","- 3,6 %",,
4.085 €/m2,4.096 €/m2 jul 2019,"- 0,3 %","+ 4,5 %","+ 0,4 %","+ 2,1 %",Arganzuela,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/arganzuela/
3.409 €/m2,3.663 €/m2 mar 2009,"- 6,9 %","+ 7,4 %","+ 1,8 %","+ 5,7 %",Barajas,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/barajas/
2.123 €/m2,"0,0 %","- 0,5 %","- 2,3 %",,"- 33,1 %",Carabanchel,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/carabanchel/
4.827 €/m2,5.096 €/m2 ene 2020,"- 1,7 %","- 5,3 %","+ 0,5 %","+ 0,7 %",Centro,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/centro/
5.098 €/m2,5.216 €/m2 nov 2018,"- 0,2 %","- 0,7 %","+ 1,2 %","- 2,3 %",Chamartín,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamartin/
5.381 €/m2,5.432 €/m2 mayo 2020,"- 0,9 %","+ 0,9 %","+ 0,2 %","+ 0,6 %",Chamberí,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamberi/
2.940 €/m2,3.578 €/m2 oct 2007,"- 0,2 %","- 2,1 %","- 17,8 %","- 0,3 %",Ciudad Lineal,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/ciudad-lineal/
3.568 €/m2,3.726 €/m2 mayo 2008,"- 4,3 %","+ 2,0 %","+ 0,5 %","+ 1,8 %",Fuencarral,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/fuencarral/
3.871 €/m2,3.901 €/m2 sep 2021,"- 0,8 %","- 0,8 %","+ 1,5 %","+ 8,1 %",Hortaleza,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/hortaleza/
2.267 €/m2,3.019 €/m2 nov 2007,"- 0,2 %","- 24,9 %","+ 0,6 %","+ 0,9 %",Latina,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/latina/
4.033 €/m2,4.037 €/m2 sep 2021,"- 0,1 %","- 0,1 %","+ 0,9 %","+ 4,0 %",Moncloa,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moncloa/
2.500 €/m2,2.718 €/m2 sep 2009,"- 2,7 %","- 3,3 %","+ 0,2 %","- 8,0 %",Moratalaz,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moratalaz/
1.918 €/m2,2.942 €/m2 abr 2008,"- 0,1 %","- 34,8 %","+ 0,8 %","+ 1,3 %",Puente de Vallecas,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/puente-de-vallecas/
4.788 €/m2,4.788 €/m2 oct 2021,,"+ 6,0 %","+ 1,1 %","+ 1,8 %",Retiro,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/retiro/
6.114 €/m2,6.114 €/m2 oct 2021,,"+ 5,3 %","+ 0,6 %","+ 0,9 %",Salamanca,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/salamanca/
2.591 €/m2,3.603 €/m2 nov 2007,"- 0,3 %","- 0,2 %","+ 2,1 %","- 28,1 %",San Blas,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/san-blas/
3.678 €/m2,3.857 €/m2 dic 2007,"- 4,6 %","+ 0,5 %","+ 0,7 %","+ 0,4 %",Tetuán,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/tetuan/
1.995 €/m2,3.110 €/m2 nov 2007,"- 0,5 %","- 0,1 %","+ 2,9 %","- 35,9 %",Usera,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/usera/
2.403 €/m2,2.656 €/m2 nov 2010,"- 1,8 %","- 9,5 %","+ 2,5 %","+ 3,4 %",Vicálvaro,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/vicalvaro/
2.354 €/m2,2.955 €/m2 mayo 2008,"- 0,9 %","- 1,7 %","- 20,3 %","- 0,4 %",Villa de Vallecas,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/villa-de-vallecas/
1.693 €/m2,2.900 €/m2 feb 2008,"- 0,3 %","- 1,4 %","- 41,6 %","- 1,3 %",Villaverde,https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/villaverde/
