id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6369,"Rooftop terrace room ,  ensuite bathroom",13660,Simon,Chamartín,Hispanoamérica,40.45724,-3.67688,Private room,60,1,80,2019-05-14,1.21,2,180,4,
21853,Bright and airy room,83531,Abdel,Latina,Cármenes,40.40381,-3.7413,Private room,31,4,33,2018-05-29,0.39,2,364,0,
23001,Apartmento Arganzuela- Madrid Rio,82175,Jesus,Arganzuela,Legazpi,40.3884,-3.69511,Entire home/apt,50,15,0,,,5,222,0,
24805,Gran Via Studio Madrid,346366726,A,Centro,Universidad,40.42183,-3.70529,Entire home/apt,92,5,12,2020-03-01,0.51,1,115,2,
26825,Single Room whith private Bathroom,114340,Agustina,Arganzuela,Legazpi,40.38975,-3.69018,Private room,26,2,149,2018-05-15,1.65,1,349,0,
28200,Apartamento Arganzuela Planetario,82175,Jesus,Arganzuela,Legazpi,40.3886,-3.69492,Entire home/apt,85,1,6,2021-06-27,0.05,5,223,3,
30320,Great Vacational Apartments,130907,Dana,Centro,Sol,40.41476,-3.70418,Entire home/apt,65,5,170,2019-11-05,2.20,3,314,0,
30478,Nice little room @ La Latina,130502,Patricia,Centro,Embajadores,40.40949,-3.70477,Private room,15,1,6,2019-07-21,4.19,4,315,2,
30959,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40.41259,-3.70105,Entire home/apt,54,3,8,2017-05-23,0.12,1,0,0,
37859,"PISO, OPERA, MADRID, GRANDE",162701,Nacho,Centro,Palacio,40.41844,-3.71073,Entire home/apt,1400,3,0,,,3,365,0,
40718,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,34217435,Luis,Centro,Justicia,40.41969,-3.69736,Entire home/apt,81,3,118,2019-07-23,1.14,9,331,0,
40916,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40.42247,-3.70577,Entire home/apt,90,5,48,2019-05-12,0.48,3,314,0,
47957,"Amazing Apartment, Salamanca Distri",218515,Sergio,Salamanca,Goya,40.42792,-3.67682,Entire home/apt,82,10,55,2015-05-08,0.43,2,260,0,
59923,Habitación para féminas en el centro de Madrid,288380,Patricia,Centro,Palacio,40.42103,-3.71038,Private room,40,1,17,2016-05-13,0.22,1,365,0,
62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40.41884,-3.69655,Private room,36,1,93,2021-06-22,2.29,2,349,14,
70059,Tu hogar en centro de Madrid.,353616,Diana,Centro,Universidad,40.42381,-3.71038,Entire home/apt,51,30,46,2021-08-15,0.36,1,114,5,VT-7440
70073,Adorable Apartment Malasaña-Gran Via,353738,Raquel,Centro,Universidad,40.42252,-3.7025,Entire home/apt,76,30,19,2018-09-21,0.21,6,335,0,
70310,"Heart of Malasaña Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,Universidad,40.42252,-3.7025,Entire home/apt,54,28,22,2021-08-28,0.29,6,262,2,
70315,Superbly located 2 bedrooms 2 balconies,353738,Raquel,Centro,Palacio,40.42306,-3.71117,Entire home/apt,60,30,5,2016-06-01,0.22,6,229,0,
70316,Superbly located Monthly rental Bills Incl.,353738,Raquel,Centro,Palacio,40.42191,-3.71038,Entire home/apt,55,28,7,2020-04-30,0.10,6,266,0,
72150,Sunny attic duplex flat with terrace next to Sol,364585,Vin,Centro,Embajadores,40.4115,-3.70449,Entire home/apt,121,3,108,2020-01-01,1.48,5,68,0,VT-6993
74352,Cozy apartment in the coolest  neighbourhood,391014,Juan,Centro,Embajadores,40.40864,-3.70884,Entire home/apt,80,8,5,2019-06-21,0.19,1,72,0,
75609,Estudio Museo Dino,401552,Mercedes,Centro,Embajadores,40.40892,-3.69697,Entire home/apt,63,3,56,2019-05-30,0.64,1,194,0,VT-59
82481,"Retiro Park, Stay at cosy studio",448981,Mercedes,Salamanca,Recoletos,40.42342,-3.68123,Entire home/apt,63,3,108,2017-10-01,0.97,1,0,0,
84719,Cool Apart. (10min Center + WIFI),259229,Felipe,Centro,Embajadores,40.40866,-3.70374,Entire home/apt,46,2,185,2020-03-09,1.56,1,10,0,VT2922
86042,Cozy attic with intimate rooftop terrace+ elevator,364585,Vin,Centro,Embajadores,40.40939,-3.69812,Entire home/apt,171,7,153,2019-11-04,1.59,5,180,0,VT-3974
92920,Bedroom in Chueca Madrid,495849,Raul,Centro,Justicia,40.42491,-3.69552,Private room,55,2,92,2018-09-11,0.78,1,314,0,
93100,*** MALASAÑA B&B ***,499977,Charo,Centro,Universidad,40.42378,-3.70248,Private room,26,1,648,2020-01-11,5.18,2,330,5,
96807,"double room, bathroom",513331,Mark´S,Puente de Vallecas,Palomeras Bajas,40.38159,-3.65534,Private room,31,4,77,2017-05-28,0.64,5,365,0,
100411,Ático muy luminoso,527760,Diana,Fuencarral - El Pardo,Valverde,40.50044,-3.67032,Entire home/apt,60,2,3,2016-06-24,0.05,1,0,0,
102040,Nice Single Room with wifi.,533936,Carlos Alberto,Ciudad Lineal,Pueblo Nuevo,40.43422,-3.64196,Private room,19,3,0,,,1,1,0,
102194,Chic apartment CHUECA totally soundproofed,534515,Guillermo,Centro,Justicia,40.42318,-3.69748,Entire home/apt,149,3,23,2020-02-03,0.78,1,164,0,
103522,"Apartamento zona Rastro. Cozy flat, Plaza Mayor.",539643,Juan Mariano,Centro,Embajadores,40.41183,-3.70778,Entire home/apt,55,4,38,2019-10-30,0.61,2,204,2,
103541,CENTRAL AND COMFORT APTO. W/PARKING,361930,Maria,Chamberí,Almagro,40.43815,-3.69764,Entire home/apt,70,2,198,2021-01-09,1.60,5,296,14,
114854,NICE CENTRAL TOURISM-BUSINESS APTO,361930,Maria,Chamberí,Rios Rosas,40.4382,-3.69389,Entire home/apt,70,2,119,2019-12-26,0.98,5,239,7,
119389,Madrid Apartment Latina,378073,Alvaro,Centro,Embajadores,40.40919,-3.70908,Entire home/apt,106,25,79,2021-08-15,0.75,8,262,3,VT380
120293,ROOM IN THE CENTER -LA LATINA- WIFI,605612,Ulises,Centro,Palacio,40.41143,-3.70912,Private room,22,1,204,2021-06-20,1.98,4,337,10,
120762,SHINY ROOM in DOWNTOWN / MALASAÑA!!,606925,Noelia,Centro,Universidad,40.42231,-3.70482,Private room,28,1,222,2020-01-18,1.80,3,315,1,
123864,LOVELY STUDIO IN OLD TOWN-A/C-WIFI,605612,Ulises,Centro,Embajadores,40.41001,-3.70704,Entire home/apt,40,1,544,2021-08-04,4.38,4,132,16,
127819,140 m2 Architect flat - Madrid center,632589,Janasor,Centro,Cortes,40.4141,-3.70289,Entire home/apt,138,1,96,2020-01-23,1.01,1,337,9,
132428,Habitacion en Anton Martin,650803,Jose Luis,Centro,Embajadores,40.41012,-3.69709,Private room,30,3,105,2019-12-26,2.24,1,346,2,
136058,"Calm, affordable room in Madrid.",666482,Cinthia,Villaverde,Los Angeles,40.35761,-3.69723,Private room,21,1,72,2015-10-26,0.60,1,314,0,
150123,LOFT ELOISA,723539,Eloisa,Centro,Embajadores,40.40639,-3.70048,Entire home/apt,70,3,25,2019-10-03,0.39,15,33,0,VT-
153798,Apartamento a 20 min del aeropuerto! Y del centro.,739627,Isabel,Hortaleza,Pinar del Rey,40.4779,-3.64596,Entire home/apt,45,3,7,2021-08-09,0.25,1,281,1,
163429,Centrical loft in Madrid (Chamberi),780107,Sonia,Chamberí,Trafalgar,40.43765,-3.70408,Entire home/apt,65,90,8,2018-04-06,0.10,1,90,0,
